source,author,title,description,url,urlToImage,publishedAt,content
"{'id': None, 'name': 'The Daily Dot'}",Melody Heald,‘But they want to sell us Nissan’: Nissan workers are asked what kind of car they drive. They say everything but Nissan,"Charlotte-based Nissan saleswoman Martina (@marsthustles) asked her co-worker, one-by-one, what type of car they drive and how much their car payment is. Their collective responses stunned viewers. 


In a video with 1.4 million views, Martina asks one of her…",https://www.dailydot.com/news/nissan-workers-do-not-drive-nissan/,https://uploads.dailydot.com/2024/04/nissan-car-payment.jpg?auto=compress&fm=pjpg,2024-04-24T14:00:00Z,"Charlotte-based Nissan saleswoman Martina (@marsthustles) asked her co-worker, one-by-one, what type of car they drive and how much their car payment is. Their collective responses stunned viewers. … [+2476 chars]"
"{'id': None, 'name': 'The Daily Dot'}",Rachel Kiley,‘Feel sad for Nissan’: Mechanic shares his picks for car brands that have become ‘money pits’,"Buying a car is a long-term commitment—and an increasingly expensive one at that. In addition to the sticker price, yearly registration costs, insurance, and constantly fluctuating gas prices, you're also looking at maintenance costs that only hurt more and m…",https://www.dailydot.com/news/nissan-money-pit/,https://uploads.dailydot.com/2024/04/nissan-cars-money-pit.jpg?auto=compress&fm=pjpg,2024-05-02T04:00:00Z,"Buying a car is a long-term commitmentand an increasingly expensive one at that. In addition to the sticker price, yearly registration costs, insurance, and constantly fluctuating gas prices, you’re … [+2809 chars]"
"{'id': None, 'name': 'Independent.ie'}",Ralph Riegel,‘It's baffling’ – Gardaí appeal for help to solve 33-year-old mystery of missing Cork couple Conor and Sheila Dwyer,Gardaí are to launch a special appeal for information in one of Ireland’s highest-profile missing persons cases.,https://www.independent.ie/irish-news/its-baffling-gardai-appeal-for-help-to-solve-33-year-old-mystery-of-missing-cork-couple-conor-and-sheila-dwyer/a1322879035.html,https://focus.independent.ie/thumbor/UQaguxNIxtYKl_qK1Is22FHpzm8=/629x460/smart/prod-mh-ireland/2237f445-7ae3-4f4f-a86a-51059ce67ddf/05a1ac5a-aadc-4f37-93dd-8b24ab9396a8/PL2748291Pictures%20Date%20Fri.jpg,2024-04-29T01:30:00Z,"Gardaí are to launch a special appeal for information in one of Irelands highest-profile missing persons cases. Cork couple Conor (62) and Sheila Dwyer (61) disappeared 33 years ago.
Tomorrow marks … [+5575 chars]"
"{'id': None, 'name': 'Bangkok Post'}",Reuters,Car production down 23.1% y/y in March,"Car production in Thailand dropped 23.08% in March from a year earlier to 138,331 units, the Federation of Thai Industries said on Thursday.",https://www.bangkokpost.com/business/general/2782000/car-production-down-23-1-y-y-in-march,https://static.bangkokpost.com/media/content/20240425/c1_2782000_240425111117_700.jpg,2024-04-25T04:11:00Z,"Car production in Thailand dropped 23.08% in March from a year earlier to 138,331 units, the Federation of Thai Industries said on Thursday.
The figure compared with February's 19.28% year-on-year d… [+1055 chars]"
"{'id': None, 'name': 'Bangkok Post'}",Online Reporters,"500,000 speed pills found hidden under car","A drug courier was arrested after about 500,000 speed pills were found secured to the underside of his vehicle in Chai Prakan district of Chiang Mai on Tuesday.",https://www.bangkokpost.com/thailand/general/2784762/500-000-speed-pills-found-hidden-under-car,https://static.bangkokpost.com/media/content/20240430/c1_2784762_700.jpg,2024-04-30T13:14:00Z,"A drug courier was arrested after about 500,000 speed pills were found secured to the underside of his vehicle in Chai Prakan district of Chiang Mai on Tuesday.
Soldiers from the Pha Muang task forc… [+857 chars]"
"{'id': None, 'name': 'BusinessLine'}",S Ronendra Singh,Hyundai Motor India reports marginal growth in its April sales; Toyota grows 32%; MG Motor declines,"Hyundai Motor India achieves fourth consecutive month of 50,000-plus units in domestic sales during calendar year 2024",https://www.thehindubusinessline.com/economy/logistics/hyundai-motor-india-reports-marginal-growth-in-its-april-sales-toyota-grows-32-mg-motor-declines/article68127932.ece,https://bl-i.thgim.com/public/incoming/d1xx79/article67145301.ece/alternates/LANDSCAPE_1200/2018-10-29T054319Z_86153674_RC1915ADF0A0_RTRMADP_3_HYUNDAI-MOTOR-MANAGEMENT.JPG,2024-05-01T07:45:34Z,"The countrys second largest passenger vehicles maker Hyundai Motor India (HMIL) on Wednesday reported domestic sales of 50,201 units in April, a marginal (one per cent) growth year-on-year (Y-o-Y) as… [+909 chars]"
"{'id': None, 'name': 'Investing.com'}",Investing.com,Toyota Exhibiting at Beijing Motor Show 2024,Toyota Exhibiting at Beijing Motor Show 2024,https://www.investing.com/news/press-releases/toyota-exhibiting-at-beijing-motor-show-2024-93CH-3396670,https://i-invdn-com.investing.com/news/news_six_pile_69x52._800x533_L_1419494215.jpg,2024-04-25T07:40:06Z,"Toyota City, Japan, Apr 25, 2024 - (JCN Newswire) - - Toyota Motor (NYSE:TM) Corporation (Toyota) is exhibiting at the 2024 Beijing International Automotive Exhibition to showcase its efforts in Chin… [+2045 chars]"
"{'id': None, 'name': 'MetalSucks'}",Mandy Scythe,Sleep Token Share EU/UK Tour Dates Alongside Bilmuri,"Sleep Token will be touring the U.K. and Europe this fall alongside Bilmuri, well-known for featuring Johnny Franck, formerly of Attack Attack!",https://www.metalsucks.net/2024/04/30/sleep-token-share-eu-uk-tour-dates-alongside-bilmuri/,https://cdn-p.smehost.net/sites/2ed48fdcc3904f548299cd86d78e9885/wp-content/uploads/2023/12/sleeptoken_new.jpg,2024-04-30T13:44:00Z,"Sleep Token will be touring the U.K. and Europe this fall alongside Bilmuri, well-known for featuring Johnny Franck, formerly of Attack Attack! 
The European leg will kick off on November 9. After t… [+2068 chars]"
"{'id': None, 'name': 'RaceFans'}",Keith Collantine,Toyota's Kobayashi keeps his nerve to deny Porsche Penske Imola win | WEC,Kamui Kobayashi held his nerve under pressure from Kevin Estre over the final hour to claim victory in the Six Hours of Imola for the number seven Toyota.,https://www.racefans.net/2024/04/21/toyotas-kobayashi-keeps-his-nerve-to-deny-porsche-penske-imola-win/,https://www.racefans.net/wp-content/uploads/2024/04/racefansdotnet-24-04-21-12-07-14-3-tjm2421ap13.jpg,2024-04-21T17:38:51Z,"Kamui Kobayashi held his nerve under pressure from Kevin Estre over the final hour to claim victory in the Six Hours of Imola for the number seven Toyota.
In a tense end to an eventful second round … [+8021 chars]"
"{'id': None, 'name': 'Smallwarsjournal.com'}",Dave Maxwell,4/28/24 National Security and Korean News and Commentary,"4/28/24 National Security and Korean News and Commentary

 Access National Security News HERE.


Access Korean News HERE.


National Security News Content:


1. Building Militaries in Fragile States: Challenges for the United States (Book review)
2. Nightt…",https://smallwarsjournal.com/blog/42824-national-security-and-korean-news-and-commentary,,2024-04-28T15:28:44Z,"Access National Security News HERE.
Access Korean News HERE.
National Security News Content:
1. Building Militaries in Fragile States: Challenges for the United States (Book review)2. Nighttime wi… [+1831 chars]"
